# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6912
#@/user_id	aae06e7b-1c87-4f88-82f7-00d22f8468fb
a 	啊	c=11 d=0.0676654 t=6912
bu er 	布爾	c=0 d=6.39714e-11 t=6912
bu er biao da shi 	布爾表達式	c=1 d=6.42921e-10 t=6912
bu fen 	部分	c=8 d=0.0720106 t=6912
bu fen he 	部分和	c=1 d=0.00511796 t=6912
bu fen shi yong ruan jian 	部分使用軟件	c=1 d=7.87566e-15 t=6912
bu gan 	不敢	c=0 d=2.17843e-14 t=6912
bu geng xin 	不更新	c=1 d=1.48975e-13 t=6912
bu guan 	不管	c=0 d=0.000790705 t=6912
bu guan zai na ge 	不管在哪個	c=1 d=0.00794669 t=6912
bu guo 	不過	c=2 d=0.00775048 t=6912
bu hao guo 	不好過	c=1 d=1.22857e-10 t=6912
bu he fa de 	不合法的	c=1 d=5.38311e-09 t=6912
bu hui 	不會	c=3 d=0.0224928 t=6912
bu hui de 	不會的	c=1 d=1.00085e-10 t=6912
bu hui qi zuo yong 	不會起作用	c=1 d=2.76077e-06 t=6912
bu hui tai da 	不會太大	c=1 d=0.170333 t=6912
bu hui zai 	不會再	c=0 d=1.22223e-09 t=6912
bu hui zai qi ta di fang 	不會再其他地方	c=1 d=1.22836e-08 t=6912
bu jian 	部件	c=1 d=6.87523e-05 t=6912
bu jian rong 	不兼容	c=0 d=2.0403e-08 t=6912
bu jian rong de 	不兼容的	c=1 d=2.05052e-07 t=6912
bu jiao 	補交	c=2 d=7.56515e-13 t=6912
bu ke 	不可	c=0 d=2.28896e-08 t=6912
bu ke bian de 	不可變的	c=1 d=2.30043e-07 t=6912
bu ke jian 	不可見	c=4 d=0.0235177 t=6912
bu ke jian de 	不可見的	c=1 d=1.66241e-09 t=6912
bu ke yi 	不可以	c=0 d=2.51707e-08 t=6912
bu ke yi ji cheng 	不可以繼承	c=1 d=2.52969e-07 t=6912
bu lang fei ji suan zi yuan ne 	不浪費計算資源呢	c=1 d=1.06238e-06 t=6912
bu man zu 	不滿足	c=1 d=3.08651e-09 t=6912
bu man zu de 	不滿足的	c=1 d=3.09776e-08 t=6912
bu neng 	不能	c=8 d=0.00013661 t=6912
bu neng bei 	不能被	c=0 d=3.43242e-10 t=6912
bu neng bei you hua wei 	不能被優化爲	c=1 d=3.44963e-09 t=6912
bu neng jie shou 	不能接受	c=0 d=0.00295994 t=6912
bu neng shi 	不能是	c=1 d=8.65464e-07 t=6912
bu neng yong 	不能用	c=1 d=1.13099e-07 t=6912
bu pa ku 	不怕苦	c=1 d=3.45021e-11 t=6912
bu pi pei 	不匹配	c=1 d=1.80552e-10 t=6912
bu qing chu 	不清楚	c=1 d=1.51958e-11 t=6912
bu ran 	不然	c=1 d=7.0177e-11 t=6912
bu ru dong wu 	哺乳動物	c=2 d=1.39113e-06 t=6912
bu ru dong wu shou yi 	哺乳動物獸醫	c=1 d=7.44912e-07 t=6912
bu shi 	不實	c=0 d=3.39065e-13 t=6912
bu shi 	不是	c=6 d=6.97199e-06 t=6912
bu shi bi xu yao 	不是必須要	c=1 d=5.43536e-05 t=6912
bu shi xian 	不實現	c=2 d=7.30783e-12 t=6912
bu shi yong 	不適用	c=0 d=2.09701e-07 t=6912
bu shu 	部署	c=2 d=6.33133e-06 t=6912
bu tai 	不太	c=1 d=2.13079e-14 t=6912
bu tong 	不同	c=8 d=0.00522777 t=6912
bu tong de 	不同的	c=1 d=3.68067e-08 t=6912
bu tong de shi 	不同的是	c=2 d=5.02262e-08 t=6912
bu tong di zhi de 	不同地址的	c=2 d=5.07445e-12 t=6912
bu tong lei xing 	不同類型	c=0 d=3.5898e-08 t=6912
bu wen ding 	不穩定	c=0 d=2.46891e-16 t=6912
bu xiang 	不向	c=1 d=3.73757e-11 t=6912
bu xiang 	不想	c=1 d=3.37259e-08 t=6912
